schema_version,provider,provider_detail,operation,m,n,activation_dtype,weight_dtype,weight_mode,eps,cold_compile_ms,cold_compile_reused,median_us,p10_us,p90_us,logical_bytes,logical_gbps,peak_bw_gbps,peak_bw_pct,rotation_buffers,rotation_working_set_bytes,l2_target_bytes,l2_eviction_between_calls,timed_samples
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,3000,float16,float16,same,1e-06,1.643089,False,19.692,19.495199,19.918401,49158000,2496.343693,4312.724204,57.883221,4,196632000,188743680,False,12
2,torch,torch.nn.functional.rms_norm,fwd,4096,3000,float16,float16,same,1e-06,,False,22.895999,22.524,23.2952,49158000,2147.012649,4312.724204,49.783212,4,196632000,188743680,False,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,4096,3000,float16,float16,same,1e-06,49074.63124,False,44.570667,43.9392,48.935468,73756384,1654.81894,4312.724204,38.370618,3,221269152,188743680,False,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,4096,3000,float16,float16,same,1e-06,1.750095,False,46.592,46.098134,48.493866,73756384,1583.026798,4312.724204,36.705959,3,221269152,188743680,False,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,4096,3000,float16,float16,same,1e-06,,False,72.090665,70.567465,103.564797,73756384,1023.105883,4312.724204,23.722961,3,221269152,188743680,False,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,4096,3000,float16,float32,float32,1e-06,19492.71323,False,19.624,19.3416,20.607199,49164000,2505.29958,4312.724204,58.090883,4,196656000,188743680,False,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,3000,float16,float32,float32,1e-06,1.659115,False,20.12,19.8864,21.067199,49164000,2443.538824,4312.724204,56.658824,4,196656000,188743680,False,12
2,torch,torch.nn.functional.rms_norm,fwd,4096,3000,float16,float32,float32,1e-06,,False,189.712003,189.3352,190.413599,49164000,259.150709,4312.724204,6.008979,4,196656000,188743680,False,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,4096,3000,float16,float32,float32,1e-06,49112.90557,False,38.773333,38.301867,40.248534,73768384,1902.554623,4312.724204,44.114915,3,221305152,188743680,False,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,4096,3000,float16,float32,float32,1e-06,1.747321,False,43.461333,42.582399,44.890666,73768384,1697.333685,4312.724204,39.356416,3,221305152,188743680,False,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,4096,3000,float16,float32,float32,1e-06,,False,453.903993,451.849604,455.779211,73768384,162.519795,4312.724204,3.768379,3,221305152,188743680,False,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,4096,3000,bfloat16,bfloat16,same,1e-06,15745.134885,False,18.976,18.742399,19.8136,49158000,2590.535394,4312.724204,60.067263,4,196632000,188743680,False,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,3000,bfloat16,bfloat16,same,1e-06,1.639827,False,20.284,19.896,20.7624,49158000,2423.486509,4312.724204,56.193867,4,196632000,188743680,False,12
2,torch,torch.nn.functional.rms_norm,fwd,4096,3000,bfloat16,bfloat16,same,1e-06,,False,23.116,22.907199,23.339201,49158000,2126.578993,4312.724204,49.309413,4,196632000,188743680,False,12
