2026/09/25 01:17:40.779, 0, 2070 MHz, 3996 MHz, 401.17 W, 37, 70 %, 0x0000000000000000
2026/09/25 01:17:40.780, 1, 2070 MHz, 3996 MHz, 403.97 W, 37, 97 %, 0x0000000000000000
2026/09/25 01:17:40.780, 2, 2070 MHz, 3996 MHz, 400.01 W, 37, 19 %, 0x0000000000000000
2026/09/25 01:17:40.780, 3, 2070 MHz, 3996 MHz, 404.55 W, 36, 68 %, 0x0000000000000000
2026/09/25 01:17:40.980, 0, 2070 MHz, 3996 MHz, 399.18 W, 37, 96 %, 0x0000000000000000
2026/09/25 01:17:40.980, 1, 2070 MHz, 3996 MHz, 397.31 W, 37, 94 %, 0x0000000000000000
2026/09/25 01:17:40.980, 2, 2070 MHz, 3996 MHz, 392.58 W, 37, 20 %, 0x0000000000000000
2026/09/25 01:17:40.980, 3, 2070 MHz, 3996 MHz, 399.11 W, 37, 95 %, 0x0000000000000000
2026/09/25 01:17:41.180, 0, 2070 MHz, 3996 MHz, 398.74 W, 37, 88 %, 0x0000000000000000
2026/09/25 01:17:41.180, 1, 2070 MHz, 3996 MHz, 395.56 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:41.180, 2, 2070 MHz, 3996 MHz, 390.62 W, 37, 76 %, 0x0000000000000000
2026/09/25 01:17:41.180, 3, 2070 MHz, 3996 MHz, 399.13 W, 37, 97 %, 0x0000000000000000
2026/09/25 01:17:41.380, 0, 2070 MHz, 3996 MHz, 395.96 W, 36, 84 %, 0x0000000000000000
2026/09/25 01:17:41.380, 1, 2070 MHz, 3996 MHz, 391.17 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:41.380, 2, 2070 MHz, 3996 MHz, 386.83 W, 37, 69 %, 0x0000000000000000
2026/09/25 01:17:41.380, 3, 2070 MHz, 3996 MHz, 394.92 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:41.580, 0, 2070 MHz, 3996 MHz, 395.96 W, 37, 88 %, 0x0000000000000000
2026/09/25 01:17:41.580, 1, 2070 MHz, 3996 MHz, 390.98 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:41.580, 2, 2070 MHz, 3996 MHz, 385.26 W, 37, 75 %, 0x0000000000000000
2026/09/25 01:17:41.580, 3, 2070 MHz, 3996 MHz, 396.58 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:41.780, 0, 2070 MHz, 3996 MHz, 404.41 W, 37, 91 %, 0x0000000000000000
2026/09/25 01:17:41.780, 1, 2070 MHz, 3996 MHz, 398.83 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:41.780, 2, 2070 MHz, 3996 MHz, 393.09 W, 37, 78 %, 0x0000000000000000
2026/09/25 01:17:41.780, 3, 2070 MHz, 3996 MHz, 404.18 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:41.980, 0, 2070 MHz, 3996 MHz, 404.80 W, 37, 94 %, 0x0000000000000000
