2026/09/25 01:26:03.220, 3, 2070 MHz, 3996 MHz, 485.80 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:26:03.420, 0, 2070 MHz, 3996 MHz, 487.26 W, 38, 100 %, 0x0000000000000000
2026/09/25 01:26:03.420, 1, 2070 MHz, 3996 MHz, 472.18 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:26:03.420, 2, 2070 MHz, 3996 MHz, 471.15 W, 39, 61 %, 0x0000000000000000
2026/09/25 01:26:03.420, 3, 2070 MHz, 3996 MHz, 478.38 W, 39, 70 %, 0x0000000000000000
2026/09/25 01:26:03.620, 0, 2070 MHz, 3996 MHz, 486.20 W, 38, 39 %, 0x0000000000000000
2026/09/25 01:26:03.620, 1, 2070 MHz, 3996 MHz, 476.98 W, 37, 91 %, 0x0000000000000000
2026/09/25 01:26:03.620, 2, 2070 MHz, 3996 MHz, 474.49 W, 38, 91 %, 0x0000000000000000
2026/09/25 01:26:03.620, 3, 2070 MHz, 3996 MHz, 476.98 W, 38, 97 %, 0x0000000000000000
2026/09/25 01:26:03.820, 0, 2070 MHz, 3996 MHz, 478.26 W, 37, 92 %, 0x0000000000000000
2026/09/25 01:26:03.820, 1, 2070 MHz, 3996 MHz, 470.16 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:26:03.820, 2, 2070 MHz, 3996 MHz, 468.42 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:26:03.820, 3, 2070 MHz, 3996 MHz, 471.28 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:26:04.020, 0, 2070 MHz, 3996 MHz, 472.64 W, 37, 95 %, 0x0000000000000000
2026/09/25 01:26:04.020, 1, 2070 MHz, 3996 MHz, 465.65 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:26:04.020, 2, 2070 MHz, 3996 MHz, 463.86 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:26:04.020, 3, 2070 MHz, 3996 MHz, 467.51 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:04.220, 0, 2070 MHz, 3996 MHz, 467.08 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:26:04.220, 1, 2070 MHz, 3996 MHz, 463.61 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:04.220, 2, 2070 MHz, 3996 MHz, 461.21 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:26:04.220, 3, 2070 MHz, 3996 MHz, 463.08 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:04.420, 0, 2070 MHz, 3996 MHz, 468.17 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:26:04.420, 1, 2070 MHz, 3996 MHz, 466.48 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:04.420, 2, 2070 MHz, 3996 MHz, 456.36 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:26:04.420, 3, 2070 MHz, 3996 MHz, 452.93 W, 38, 67 %, 0x0000000000000000
